soc,temperature,charge_cycles,health_score
43.708610696262625,33.0852841867953,617,92.27527581358767
95.56428757689245,32.348939953599995,63,98.66531801392
75.87945476302646,65.31272902605184,2212,67.28618129218444
63.8792635777333,32.477309992475305,2074,78.5168070022574
24.041677639819287,33.59748630643155,284,93.48492187205247
24.03950683025824,57.969913120898184,1683,72.18297674675637
15.227525095137953,42.486992122527,2328,69.4966548727557
87.95585311974416,58.83552784775906,837,82.97934164567228
64.1003510568888,23.26830787821926,830,91.7
73.7265320016441,44.378559683669216,1187,83.81643209489923
11.85260448662222,21.68068000916413,2965,66.53526044866221
97.29188669457949,23.132660172767725,223,97.77
84.91983767203796,65.32187266722055,783,81.57343819983384
29.110519961044854,26.96226855587976,949,88.4210519961045
26.364247048639054,46.62103411376086,44,92.21011447073565
26.506405886809045,40.554780130035326,1810,76.38420654967031
37.381801866358394,37.36716631294213,470,91.8280302927532
57.228078846901404,64.99166728436361,2081,68.69249981469092
48.87505167779042,21.091169838774476,2700,72.88750516777904
36.21062261782377,53.189484308779456,829,83.37421696914853
65.06676052501416,68.16972171067752,1909,69.45908348679674
22.554447458683764,48.0084091730921,2268,69.17292199394073
36.29301836816963,66.84112310165459,1891,68.66696490632059
42.97256589643225,22.61289396430119,2581,73.48725658964322
51.046298579533236,40.93966595370807,691,89.80810021388758
80.66583652537122,33.007889548102554,1390,85.19763313556923
27.970640394252378,56.54104824903649,931,80.52474956471428
56.28109945722505,69.06485452486234,840,79.8805436425413
63.31731119758382,32.82650312221239,1938,79.77204906333628
14.180537144799796,52.70873007370373,1573,73.87543469236886
64.67903667112945,29.904881637987007,2629,73.71000000000001
25.347171131856236,48.266512728580494,2286,69.19476329461148
15.854643368675156,43.19662433441681,2488,67.74647703654247
95.39969835279999,68.60026648157685,147,86.94992005552695
96.90688297671034,50.42636363482333,1032,83.552090909553
82.7557613304815,37.47531860434094,1311,84.64740441869772
37.41523922560336,25.704789244396668,387,94.87152392256033
18.79049026057455,27.562341436746728,1873,78.14904902605745
71.58097238609412,31.265846497561753,915,90.47024605073148
49.61372443656412,32.5483330670149,1878,80.41687252355194
20.983441136030095,62.53080289205689,2685,60.48910324598595
54.56592191001432,48.061139414126245,277,91.81165817576213
13.094966900369656,46.16954556871832,1977,71.68863301942147
91.83883618709038,25.73844359346087,1859,81.41
33.290198344001524,63.00698466747175,1825,70.17692443415864
69.62700559185838,56.140715160424186,2636,65.79778545187274
38.053996848046985,23.383418095000078,1833,80.4753996848047
56.80612190600297,55.39175486148844,2696,65.42247354155346
59.203925140895166,47.17691086713231,617,88.6769267398603
26.636900997297435,24.086267287338913,1630,81.36369009972975
97.26261649881027,42.91503207643282,2182,74.30549037707016
79.76195410250031,44.23481435650235,579,89.93955569304929
94.55490474077702,28.28872700816379,1170,88.3
90.5344615384884,67.28490735001412,489,83.92452779499577
63.810998092997664,62.49876857403309,2525,65.00036942779008
92.96868115208052,53.451116866455415,1182,81.14466494006338
17.964325184672756,43.11477805003036,383,89.03199910345816
27.638457617723066,40.58827707922542,162,92.96736263800467
14.070456001948425,52.548673357547706,2488,64.76244359293054
39.27972976869379,47.27159347034527,1876,74.98649493576579
44.98095607205338,23.11365529409428,1212,87.37809560720534
34.42141285965063,45.62513243851659,2462,69.13460155441008
84.58637582367363,60.32018086164197,1362,77.28394574150741
42.10779940242303,42.9619938798479,1630,79.02218177628794
